id	untreated	Dex
ENSG00000165995	86.346513994783	942.221661889008
ENSG00000152583	76.1546786672698	1894.96387549973
ENSG00000120129	763.749621437702	5887.05577233651
ENSG00000101347	1769.45537044964	25464.4141552747
ENSG00000189221	420.774705365415	4168.6852859384
ENSG00000211445	1711.20200060023	22613.7717033536
ENSG00000162614	2146.13519518634	8675.79892479468
ENSG00000157214	1183.5060306967	4668.45265009675
ENSG00000154734	10222.9904872172	49701.3159627683
ENSG00000179094	147.403551679417	1380.56888666312
ENSG00000125148	701.958861484044	3062.85383972004
ENSG00000163884	43.8243834758102	1047.7202077192
ENSG00000134243	1957.67571429855	9037.46249075695
ENSG00000139132	418.307630891834	1991.74645831005
ENSG00000162493	464.080224842324	1700.7322151669
ENSG00000178695	4553.15788709857	796.710413568102
ENSG00000162692	931.515583634985	74.0595001123564
ENSG00000146250	548.627458771382	82.2635913082261
ENSG00000148848	2117.09740372462	580.645087182638
ENSG00000198624	479.006611696086	3566.36666134246
ENSG00000124766	2210.73798467345	428.106021317784
ENSG00000163083	62.7117095814169	779.553693087578
ENSG00000154930	266.523076801532	995.710254751008
ENSG00000253368	420.629894330519	1631.19190282012
ENSG00000107562	44079.9844270153	11601.2077440465
ENSG00000197381	637.082776770144	3182.91097757196
ENSG00000116285	1014.62003577273	5451.70964841678
ENSG00000162616	763.205732683163	2174.49436789677
ENSG00000163394	1785.85309110671	386.682430845417
ENSG00000163661	3482.44816639714	16102.4633012219
ENSG00000122035	305.551516731909	1572.77983108237
ENSG00000166741	2700.4788574744	11990.1793569905
ENSG00000172403	3636.95846158889	11906.3508772855
ENSG00000105989	593.871345967736	67.4089338814387
ENSG00000106976	1043.18161101043	305.454046401039
ENSG00000157150	40.4295122290568	310.697542479292
ENSG00000109906	4.46556849614337	720.879465054272
ENSG00000119139	2121.77663310758	8301.54666769281
ENSG00000148175	7194.45070151375	19193.0403012601
ENSG00000168309	11.228232124046	307.776521073592
ENSG00000196569	6710.78892476799	27922.5943450657
ENSG00000124440	53.1419932518056	340.45067322475
ENSG00000136478	1939.45685887881	5382.98442211012
ENSG00000172986	1119.23331825152	371.733879187357
ENSG00000214814	422.446493315527	40.0864999271384
ENSG00000108821	141381.125079761	57143.3845570497
