id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000165995	514.284087941895	3.32135240257045	0.130721997449098	25.4077543748042	2.07031991989554e-142	3.56095026222034e-138
ENSG00000152583	985.5592770835	4.3400678735817	0.176052488767123	24.6521245111314	3.49204599068185e-134	3.00315955198639e-130
ENSG00000120129	3325.40269688711	2.87294155636602	0.116764973672197	24.6044808302825	1.13112633241849e-133	6.48512430586602e-130
ENSG00000101347	13616.9347628622	3.60613898069953	0.151736163267373	23.7658505596005	7.53460524304227e-125	3.23988025450817e-121
ENSG00000189221	2294.72999565191	3.23162487640835	0.139602207625443	23.1488092586537	1.49445818668261e-118	5.14093616218818e-115
ENSG00000211445	12162.4868519769	3.54020618733113	0.157322869207329	22.5028071580975	3.8960719047226e-112	1.11687394602048e-108
ENSG00000162614	5410.96705999051	1.98886346929461	0.0923024811353684	21.5472373530002	5.62018432203317e-103	1.38095957627101e-99
ENSG00000157214	2925.97934039672	1.94029383709974	0.0905899159136486	21.4184307108669	8.99691002776775e-102	1.93433565597007e-98
ENSG00000154734	29962.1532249927	2.27248146826391	0.114525030630809	19.8426619556177	1.27524313661617e-87	2.43713132775535e-84
ENSG00000179094	763.98621917127	3.08390108948571	0.157644709130904	19.5623507219955	3.23799908505306e-85	5.56935842629127e-82
ENSG00000125148	1882.40635060204	2.07893932980811	0.106387429710495	19.5412121099775	4.90045800378261e-85	7.66253433318736e-82
ENSG00000163884	545.772295597504	4.08016213625138	0.210263902867577	19.4049576775004	7.00762172113925e-84	1.00442578002996e-80
ENSG00000134243	5497.56910252775	2.13286245470677	0.110581401504957	19.2877140792176	6.8119309079965e-83	9.0127085859646e-80
ENSG00000139132	1205.02704460094	2.17754767969365	0.113087143479586	19.2554839806943	1.26982562764528e-82	1.56007148539277e-79
ENSG00000162493	1082.40622000461	1.84343097512591	0.0958338809213397	19.2356915675678	1.86045140209934e-82	2.13331760774057e-79
ENSG00000178695	2674.93415033333	-2.45909078531154	0.130405452789583	-18.8572696364118	2.56108437747017e-79	2.75316570578043e-76
ENSG00000162692	502.78754187367	-3.47221011230658	0.186272605572124	-18.6404764224021	1.50890958867562e-77	1.52666146618945e-74
ENSG00000146250	315.445525039804	-2.65113949230981	0.145542570929473	-18.2155604053092	3.88420164760912e-74	3.71157046327094e-71
ENSG00000148848	1348.87124545363	-1.81351611606144	0.101813669394202	-17.8121084020641	5.69245431633948e-71	5.153169170581e-68
ENSG00000198624	2022.68663651927	2.78438052503585	0.15665104519211	17.774413963349	1.11557357057037e-70	9.59393270690516e-68
